id,name,category,quantity,price
1,Monitor 34,Furniture,353,1637
2,Monitor 83,Furniture,498,1983
3,Desk 37,Furniture,62,1779
4,Tablet 96,Furniture,453,574
5,Headphones 53,Electronics,160,721
6,Headphones 29,Electronics,138,1222
7,Mouse 91,Furniture,177,996
8,Monitor 28,Electronics,312,741
9,Phone 38,Furniture,110,188
10,Monitor 66,Accessories,147,910
11,Mouse 93,Electronics,104,1846
12,Headphones 45,Electronics,333,246
13,Desk 78,Furniture,383,1314
14,Mouse 58,Furniture,315,1848
15,Printer 89,Electronics,9,1347
16,Chair 7,Furniture,127,1651
17,Keyboard 81,Furniture,290,205
18,Tablet 57,Furniture,91,314
19,Chair 5,Furniture,286,1915
20,Headphones 22,Electronics,454,1727
21,Desk 97,Accessories,382,1699
22,Printer 75,Accessories,492,1236
23,Laptop 32,Accessories,296,1151
24,Keyboard 38,Accessories,233,1467
25,Printer 25,Accessories,372,202
26,Mouse 42,Accessories,430,873
27,Keyboard 30,Furniture,327,1430
28,Phone 88,Furniture,362,292
29,Chair 95,Accessories,287,158
30,Tablet 30,Accessories,460,366
31,Phone 37,Electronics,459,1381
32,Printer 77,Accessories,113,1385
33,Keyboard 39,Accessories,366,1745
34,Mouse 32,Electronics,75,1937
35,Headphones 12,Accessories,194,1072
36,Chair 71,Furniture,299,150
37,Monitor 9,Electronics,414,772
38,Mouse 12,Electronics,405,445
39,Monitor 85,Accessories,474,1478
40,Tablet 98,Electronics,182,287
41,Monitor 34,Accessories,99,76
42,Tablet 61,Electronics,168,220
43,Printer 9,Furniture,56,783
44,Laptop 28,Electronics,414,1572
45,Monitor 41,Electronics,226,1568
46,Keyboard 65,Furniture,496,140
47,Phone 73,Electronics,448,956
48,Chair 93,Accessories,167,96
49,Mouse 46,Furniture,290,1902
50,Printer 52,Furniture,438,1537
51,Tablet 23,Accessories,362,1391
52,Monitor 41,Accessories,34,1035
53,Mouse 15,Furniture,470,1099
54,Tablet 59,Electronics,387,1698
55,Phone 55,Furniture,71,873
56,Headphones 84,Accessories,331,957
57,Mouse 54,Furniture,118,1948
58,Chair 7,Electronics,350,1471
59,Headphones 53,Accessories,215,1926
60,Monitor 78,Electronics,354,1175
61,Mouse 52,Furniture,219,233
62,Monitor 53,Furniture,29,846
63,Mouse 45,Furniture,194,570
64,Chair 75,Accessories,421,1508
65,Tablet 57,Accessories,225,1363
66,Mouse 50,Furniture,363,1921
67,Printer 29,Furniture,126,607
68,Laptop 66,Electronics,285,214
69,Monitor 28,Accessories,153,386
70,Desk 100,Accessories,458,1367
71,Monitor 89,Furniture,206,375
72,Headphones 91,Furniture,488,1421
73,Desk 67,Furniture,387,1034
74,Keyboard 74,Furniture,93,1403
75,Mouse 84,Furniture,76,141
76,Monitor 54,Furniture,137,601
77,Phone 100,Furniture,413,121
78,Chair 79,Electronics,237,265
79,Tablet 74,Electronics,183,826
80,Monitor 43,Electronics,261,829
81,Monitor 27,Accessories,467,313
82,Phone 79,Accessories,198,1888
83,Phone 98,Electronics,68,196
84,Laptop 59,Accessories,56,1784
85,Laptop 52,Electronics,463,1331
86,Headphones 93,Furniture,253,1131
87,Monitor 1,Furniture,190,456
88,Desk 33,Accessories,330,1368
89,Printer 91,Furniture,365,644
90,Chair 29,Furniture,367,339
91,Phone 98,Accessories,62,10
92,Mouse 95,Electronics,382,620
93,Desk 72,Accessories,6,346
94,Headphones 68,Furniture,232,1640
95,Headphones 39,Electronics,6,45
96,Desk 39,Accessories,457,230
97,Chair 74,Electronics,408,65
98,Phone 54,Electronics,57,676
99,Laptop 91,Electronics,272,891
100,Mouse 59,Accessories,57,316
101,Laptop 59,Accessories,384,1512
102,Tablet 37,Accessories,365,129
103,Chair 67,Furniture,474,883
104,Phone 26,Electronics,377,736
105,Printer 52,Electronics,436,556
106,Headphones 24,Accessories,345,639
107,Monitor 78,Electronics,389,111
108,Monitor 23,Electronics,26,1304
109,Desk 7,Electronics,315,299
110,Printer 94,Electronics,442,284
111,Printer 4,Accessories,263,1644
112,Headphones 61,Furniture,175,1933
113,Tablet 59,Accessories,91,410
114,Laptop 22,Electronics,171,152
115,Desk 91,Accessories,324,1654
116,Phone 70,Furniture,16,174
117,Monitor 53,Accessories,431,1222
118,Monitor 67,Accessories,438,393
119,Chair 73,Accessories,320,351
120,Chair 3,Accessories,481,780
121,Monitor 33,Furniture,339,691
122,Printer 62,Furniture,411,149
123,Desk 46,Accessories,273,1992
124,Tablet 92,Accessories,440,373
125,Keyboard 86,Electronics,242,833
126,Laptop 59,Accessories,207,928
127,Printer 26,Furniture,270,1669
128,Printer 92,Electronics,255,423
129,Printer 42,Electronics,376,1083
130,Chair 85,Accessories,190,1550
131,Keyboard 64,Furniture,89,631
132,Chair 50,Furniture,10,1626
133,Chair 96,Accessories,352,605
134,Laptop 85,Electronics,181,575
135,Desk 29,Furniture,313,19
136,Tablet 25,Accessories,422,324
137,Headphones 5,Electronics,170,500
138,Chair 80,Furniture,283,1551
139,Printer 95,Electronics,190,231
140,Laptop 36,Furniture,156,364
141,Headphones 62,Accessories,198,1848
142,Desk 70,Electronics,256,635
143,Mouse 40,Electronics,243,58
144,Monitor 28,Furniture,459,522
145,Mouse 13,Electronics,295,1330
146,Chair 65,Furniture,166,195
147,Headphones 78,Furniture,166,392
148,Desk 89,Accessories,478,736
149,Phone 31,Electronics,479,1776
150,Printer 56,Furniture,377,1732
151,Tablet 38,Furniture,401,216
152,Laptop 61,Furniture,362,1649
153,Chair 52,Electronics,336,1356
154,Printer 97,Electronics,19,291
155,Desk 79,Accessories,213,710
156,Laptop 68,Accessories,36,1225
157,Keyboard 27,Electronics,66,1335
158,Keyboard 42,Accessories,459,872
159,Printer 48,Electronics,224,254
160,Keyboard 45,Furniture,359,714
161,Monitor 68,Furniture,306,1484
162,Chair 68,Electronics,252,1973
163,Tablet 84,Furniture,440,1479
164,Monitor 55,Electronics,423,1548
165,Printer 88,Accessories,372,1850
166,Phone 68,Electronics,165,1354
167,Monitor 68,Electronics,197,580
168,Mouse 99,Furniture,190,1942
169,Printer 29,Furniture,199,726
170,Laptop 13,Accessories,494,1520
171,Printer 55,Electronics,349,584
172,Monitor 82,Furniture,425,1722
173,Headphones 35,Electronics,246,1898
174,Mouse 63,Accessories,193,198
175,Printer 50,Electronics,69,175
176,Desk 99,Furniture,325,1344
177,Tablet 11,Electronics,307,50
178,Laptop 60,Accessories,33,1745
179,Desk 89,Electronics,138,1180
180,Mouse 35,Electronics,310,765
181,Keyboard 17,Furniture,39,544
182,Printer 22,Accessories,377,677
